"pubDate","timestamp","title","description","link","rss-url","country","category"
"2022-09-19 13:00:10+05:30","1663572610.0","Delhi excise policy row | AAP’s MCD poll in-charge Durgesh Pathak summoned by ED, claims Manish Sisodia","Mr. Sisodia questioned the summons to the AAP leader, and wondered whether the agency was targeting the liquor policy or MCD polls","https://www.thehindu.com/news/cities/Delhi/delhi-excise-policy-row-aaps-mcd-poll-in-charge-durgesh-pathak-summoned-by-ed-claims-manish-sisodia/article65909241.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 12:46:17+05:30","1663571777.0","CM’s announcement of increasing allocation for KKRDB triggers political tussle","Opposition Congress terms it as an eyewash","https://www.thehindu.com/news/national/karnataka/cms-announcement-of-increasing-allocation-for-kkrdb-triggers-political-tussle/article65907056.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-19 12:46:17+05:30","1663571777.0","CM’s announcement of increasing allocation for KKRDB triggers political tussle","Opposition Congress terms it as an eyewash","https://www.thehindu.com/news/national/karnataka/cms-announcement-of-increasing-allocation-for-kkrdb-triggers-political-tussle/article65907056.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 12:39:07+05:30","1663571347.0","Will Priyanka participate in Bharat Jodo yatra in Mysuru region?","DKS says a “tall woman leader” of the Congress is likely to take part","https://www.thehindu.com/news/national/karnataka/will-priyanka-participate-in-bharat-jodo-yatra-in-mysuru-region/article65906766.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-19 12:39:07+05:30","1663571347.0","Will Priyanka participate in Bharat Jodo yatra in Mysuru region?","DKS says a “tall woman leader” of the Congress is likely to take part","https://www.thehindu.com/news/national/karnataka/will-priyanka-participate-in-bharat-jodo-yatra-in-mysuru-region/article65906766.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 12:32:50+05:30","1663570970.0","Daily Quiz | On Chief Minister’s Breakfast Scheme","The Chief Minister’s Breakfast Scheme was launched in Tamil Nadu by M.K. Stalin on September 15. Tamil Nadu is also the pioneer of the midday meal scheme, arguably among the best government interventions which links food and nutrition to education and development. How much do you know about this scheme?","https://www.thehindu.com/news/national/tamil-nadu/the-hindu-daily-quiz-on-chief-ministers-breakfast-scheme/article65894592.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-19 12:32:50+05:30","1663570970.0","Daily Quiz | On Chief Minister’s Breakfast Scheme","The Chief Minister’s Breakfast Scheme was launched in Tamil Nadu by M.K. Stalin on September 15. Tamil Nadu is also the pioneer of the midday meal scheme, arguably among the best government interventions which links food and nutrition to education and development. How much do you know about this scheme?","https://www.thehindu.com/news/national/tamil-nadu/the-hindu-daily-quiz-on-chief-ministers-breakfast-scheme/article65894592.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 11:51:45+05:30","1663568505.0","Seat row | Telangana Minister K.T. Rama Rao asks IndiGo to start respecting local languages","The Minister was responding a tweet by a flyer Devasmita Chakraverty who claimed that a woman who was originally sitting in emergency exit row was forced to vacate because she did not understand English/ Hindi","https://www.thehindu.com/news/national/other-states/seat-row-telangana-minister-kt-rama-rao-asks-indigo-to-start-respecting-local-languages/article65909071.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-19 11:51:45+05:30","1663568505.0","Seat row | Telangana Minister K.T. Rama Rao asks IndiGo to start respecting local languages","The Minister was responding a tweet by a flyer Devasmita Chakraverty who claimed that a woman who was originally sitting in emergency exit row was forced to vacate because she did not understand English/ Hindi","https://www.thehindu.com/news/national/other-states/seat-row-telangana-minister-kt-rama-rao-asks-indigo-to-start-respecting-local-languages/article65909071.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 11:34:42+05:30","1663567482.0","Insurgency down in northeast, Army shifts to LAC","Assam Rifles is now given the responsiblity of counter-insurgency duties in northeastern region","https://www.thehindu.com/news/national/northeast-insurgency-losing-public-support-recruitment-down/article65906559.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
